Region,Starting Median Salary
Northeastern,58000
Northeastern,66500
Northeastern,72200
Northeastern,59100
Northeastern,63400
Northeastern,60900
Northeastern,62400
Northeastern,61000
Northeastern,61800
Northeastern,61100
Northeastern,60300
Northeastern,54100
Northeastern,56200
Northeastern,52800
Northeastern,59400
Northeastern,53900
Northeastern,60600
Northeastern,59200
Northeastern,52700
Northeastern,55800
Northeastern,47800
Northeastern,46500
Northeastern,53000
Northeastern,53600
Northeastern,47200
Northeastern,50300
Northeastern,49000
Northeastern,53400
Northeastern,48000
Northeastern,47300
Northeastern,49500
Northeastern,46800
Northeastern,44500
Northeastern,50300
Northeastern,43800
Northeastern,53200
Northeastern,48900
Northeastern,43600
Northeastern,48000
Northeastern,48000
Northeastern,46600
Northeastern,42700
Northeastern,45400
Northeastern,50500
Northeastern,45700
Northeastern,49900
Northeastern,43900
Northeastern,45500
Northeastern,43400
Northeastern,48900
Northeastern,40700
Northeastern,47300
Northeastern,44000
Northeastern,52900
Northeastern,44400
Northeastern,41100
Northeastern,44800
Northeastern,46200
Northeastern,42300
Northeastern,42800
Northeastern,45100
Northeastern,42100
Northeastern,40600
Northeastern,45700
Northeastern,41800
Northeastern,45600
Northeastern,38000
Northeastern,43200
Northeastern,37500
Northeastern,43000
Northeastern,40800
Northeastern,46000
Northeastern,45700
Northeastern,42100
Northeastern,42400
Northeastern,42000
Northeastern,41200
Northeastern,38000
Northeastern,36900
Northeastern,37800
Northeastern,39400
Northeastern,43700
