Region,Starting Median Salary
Southern,64000
Southern,55000
Southern,58900
Southern,58300
Southern,51200
Southern,52700
Southern,47000
Southern,49700
Southern,49100
Southern,53500
Southern,52000
Southern,48600
Southern,49700
Southern,52000
Southern,45300
Southern,42400
Southern,48300
Southern,47100
Southern,46900
Southern,47800
Southern,48400
Southern,44100
Southern,45400
Southern,45900
Southern,47200
Southern,44700
Southern,44100
Southern,43100
Southern,46900
Southern,42900
Southern,41300
Southern,45400
Southern,42800
Southern,46200
Southern,46000
Southern,41400
Southern,46500
Southern,44500
Southern,42800
Southern,45100
Southern,43100
Southern,47000
Southern,41100
Southern,43200
Southern,43800
Southern,43100
Southern,41800
Southern,49500
Southern,42100
Southern,43400
Southern,42600
Southern,40000
Southern,42600
Southern,41100
Southern,42500
Southern,39200
Southern,41400
Southern,40400
Southern,42000
Southern,40200
Southern,36900
Southern,46700
Southern,37500
Southern,38700
Southern,40800
Southern,34800
Southern,39400
Southern,37700
Southern,40900
Southern,36900
Southern,36600
Northeastern,58000
Northeastern,66500
Northeastern,72200
Northeastern,59100
Northeastern,63400
Northeastern,60900
Northeastern,62400
Northeastern,61000
Northeastern,61800
Northeastern,61100
Northeastern,60300
Northeastern,54100
Northeastern,56200
Northeastern,52800
Northeastern,59400
Northeastern,53900
Northeastern,60600
Northeastern,59200
Northeastern,52700
Northeastern,55800
Northeastern,47800
Northeastern,46500
Northeastern,53000
Northeastern,53600
Northeastern,47200
Northeastern,50300
Northeastern,49000
Northeastern,53400
Northeastern,48000
Northeastern,47300
Northeastern,49500
Northeastern,46800
Northeastern,44500
Northeastern,50300
Northeastern,43800
Northeastern,53200
Northeastern,48900
Northeastern,43600
Northeastern,48000
Northeastern,48000
Northeastern,46600
Northeastern,42700
Northeastern,45400
Northeastern,50500
Northeastern,45700
Northeastern,49900
Northeastern,43900
Northeastern,45500
Northeastern,43400
Northeastern,48900
Northeastern,40700
Northeastern,47300
Northeastern,44000
Northeastern,52900
Northeastern,44400
Northeastern,41100
Northeastern,44800
Northeastern,46200
Northeastern,42300
Northeastern,42800
Northeastern,45100
Northeastern,42100
Northeastern,40600
Northeastern,45700
Northeastern,41800
Northeastern,45600
Northeastern,38000
Northeastern,43200
Northeastern,37500
Northeastern,43000
Northeastern,40800
Northeastern,46000
Northeastern,45700
Northeastern,42100
Northeastern,42400
Northeastern,42000
Northeastern,41200
Northeastern,38000
Northeastern,36900
Northeastern,37800
Northeastern,39400
Northeastern,43700
