Region,Starting Median Salary
Southern,64000
Southern,55000
Southern,58900
Southern,58300
Southern,51200
Southern,52700
Southern,47000
Southern,49700
Southern,49100
Southern,53500
Southern,52000
Southern,48600
Southern,49700
Southern,52000
Southern,45300
Southern,42400
Southern,48300
Southern,47100
Southern,46900
Southern,47800
Southern,48400
Southern,44100
Southern,45400
Southern,45900
Southern,47200
Southern,44700
Southern,44100
Southern,43100
Southern,46900
Southern,42900
Southern,41300
Southern,45400
Southern,42800
Southern,46200
Southern,46000
Southern,41400
Southern,46500
Southern,44500
Southern,42800
Southern,45100
Southern,43100
Southern,47000
Southern,41100
Southern,43200
Southern,43800
Southern,43100
Southern,41800
Southern,49500
Southern,42100
Southern,43400
Southern,42600
Southern,40000
Southern,42600
Southern,41100
Southern,42500
Southern,39200
Southern,41400
Southern,40400
Southern,42000
Southern,40200
Southern,36900
Southern,46700
Southern,37500
Southern,38700
Southern,40800
Southern,34800
Southern,39400
Southern,37700
Southern,40900
Southern,36900
Southern,36600
